TAG_ID	ISK_OMKOD	FELVETTEK	tgl_letszam
2430	028001	0	3
2431	028001	0	4
2432	027446	1	4
2430	028001	1	3
2431	028001	0	4
2432	027446	0	4
2430	028001	0	3
2431	028001	0	4
2432	027446	1	4
2430	028001	0	3
2431	028001	0	4
2432	027446	1	4
2430	028001	0	3
2431	028001	1	4
2432	027446	0	4
2430	028001	0	3
2431	028001	1	4
2432	027446	0	4
2430	028001	1	3
2431	028001	0	4
2432	027446	0	4
2430	028001	0	3
2431	028001	0	4
2432	027446	0	4
2430	028001	0	3
2431	028001	1	4
2432	027446	0	4
2430	028001	1	3
2431	028001	0	4
2432	027446	0	4
2481	029553	0	5
2482	029553	0	3
2483	027553	1	5
2481	029553	1	5
2482	029553	0	3
2483	027553	0	5
2481	029553	0	5
2482	029553	0	3
2483	027553	1	5
2481	029553	1	5
2482	029553	0	3
2483	027553	0	5
2481	029553	1	5
2482	029553	0	3
2483	027553	0	5
2481	029553	0	5
2482	029553	0	3
2483	027553	1	5
2481	029553	0	5
2482	029553	1	3
2483	027553	0	5
