azon	TAG_ID	ISK_OMKOD	JEL_SORSZ	DIAKSORSZTAG	DIAKSTATUSZ	FELVETTEK
10080603009	2430	028001	3	1	F	0
10080603009	2431	028001	2	1	F	0
10080603009	2432	027446	1	4	F	1
10080603010	2430	028001	1	2	F	1
10080603010	2431	028001	3	8	F	0
10080603010	2432	027446	2	5	F	0
10080603011	2430	028001	3	5	F	0
10080603011	2431	028001	2	2	F	0
10080603011	2432	027446	1	6	F	1
10080603012	2430	028001	2	6	F	0
10080603012	2431	028001	NA	NA	E	0
10080603012	2432	027446	1	2	F	1
10080603013	2430	028001	3	3	F	0
10080603013	2431	028001	1	4	F	1
10080603013	2432	027446	2	3	F	0
10080603014	2430	028001	1	9	F	0
10080603014	2431	028001	2	3	F	1
10080603014	2432	027446	3	8	F	0
10080603015	2430	028001	2	7	F	1
10080603015	2431	028001	3	6	F	0
10080603015	2432	027446	1	9	F	0
10080603016	2430	028001	1	8	F	0
10080603016	2431	028001	2	7	F	0
10080603016	2432	027446	NA	NA	E	0
10080603017	2430	028001	NA	NA	E	0
10080603017	2431	028001	1	5	F	1
10080603017	2432	027446	2	1	F	0
10080603018	2430	028001	2	4	F	1
10080603018	2431	028001	NA	NA	E	0
10080603018	2432	027446	1	7	F	0
10080603060	2481	029553	1	5	F	0
10080603060	2482	029553	3	6	F	0
10080603060	2483	027553	2	3	F	1
10080603061	2481	029553	1	4	F	1
10080603061	2482	029553	3	2	F	0
10080603061	2483	027553	2	1	F	0
10080603062	2481	029553	2	6	F	0
10080603062	2482	029553	NA	NA	E	0
10080603062	2483	027553	1	4	F	1
10080603063	2481	029553	1	2	F	1
10080603063	2482	029553	2	1	F	0
10080603063	2483	027553	NA	NA	E	0
10080603064	2481	029553	1	1	F	1
10080603064	2482	029553	3	5	F	0
10080603064	2483	027553	2	2	F	0
10080603065	2481	029553	2	3	F	0
10080603065	2482	029553	3	4	F	0
10080603065	2483	027553	1	5	F	1
10080603066	2481	029553	NA	NA	E	0
10080603066	2482	029553	1	3	F	1
10080603066	2483	027553	NA	NA	E	0
