azon	TAG_ID	ISK_OMKOD	JEL_SORSZ	DIAKSORSZTAG	DIAKSTATUSZ	FELVETTEK
10080603009	2379	028001	3	1	F	0
10080603009	2380	028001	2	1	F	0
10080603009	2381	027446	1	4	F	1
10080603010	2379	028001	1	2	F	1
10080603010	2380	028001	3	8	F	0
10080603010	2381	027446	2	5	F	0
10080603011	2379	028001	3	5	F	0
10080603011	2380	028001	2	2	F	0
10080603011	2381	027446	1	6	F	1
10080603012	2379	028001	2	6	F	0
10080603012	2380	028001	NA	NA	E	0
10080603012	2381	027446	1	2	F	1
10080603013	2379	028001	3	3	F	0
10080603013	2380	028001	1	4	F	1
10080603013	2381	027446	2	3	F	0
10080603014	2379	028001	1	9	F	0
10080603014	2380	028001	2	3	F	1
10080603014	2381	027446	3	8	F	0
10080603015	2379	028001	2	7	F	1
10080603015	2380	028001	3	6	F	0
10080603015	2381	027446	1	9	F	0
10080603016	2379	028001	1	8	F	0
10080603016	2380	028001	2	7	F	0
10080603016	2381	027446	NA	NA	E	0
10080603017	2379	028001	NA	NA	E	0
10080603017	2380	028001	1	5	F	1
10080603017	2381	027446	2	1	F	0
10080603018	2379	028001	2	4	F	1
10080603018	2380	028001	NA	NA	E	0
10080603018	2381	027446	1	7	F	0
10080603060	2379	029553	1	5	F	0
10080603060	2380	029553	3	6	F	0
10080603060	2381	027553	2	3	F	1
10080603061	2379	029553	1	4	F	1
10080603061	2380	029553	3	2	F	0
10080603061	2381	027553	2	1	F	0
10080603062	2379	029553	2	6	F	0
10080603062	2380	029553	NA	NA	E	0
10080603062	2381	027553	1	4	F	1
10080603063	2379	029553	1	2	F	1
10080603063	2380	029553	2	1	F	0
10080603063	2381	027553	NA	NA	E	0
10080603064	2379	029553	1	1	F	1
10080603064	2380	029553	3	5	F	0
10080603064	2381	027553	2	2	F	0
10080603065	2379	029553	2	3	F	0
10080603065	2380	029553	3	4	F	0
10080603065	2381	027553	1	5	F	1
10080603066	2379	029553	NA	NA	E	0
10080603066	2380	029553	1	3	F	1
10080603066	2381	027553	NA	NA	E	0
