matching	m.id	jaras_kod	TAG_ID	azon	ok
1	1	1	2430	10080603010	1
1	1	1	2430	10080603018	1
1	1	1	2430	10080603015	1
1	1	1	2431	10080603014	1
1	1	1	2431	10080603013	1
1	1	1	2431	10080603017	1
1	1	1	2432	10080603012	1
1	1	1	2432	10080603009	1
1	1	1	2432	10080603011	1
2	1	1	2430	10080603010	1
2	1	1	2430	10080603018	1
2	1	1	2430	10080603015	1
2	1	1	2431	10080603011	1
2	1	1	2431	10080603014	1
2	1	1	2431	10080603013	1
2	1	1	2432	10080603017	1
2	1	1	2432	10080603012	1
2	1	1	2432	10080603009	1
3	1	1	2430	10080603010	1
3	1	1	2430	10080603018	1
3	1	1	2430	10080603015	1
3	1	1	2431	10080603009	1
3	1	1	2431	10080603011	1
3	1	1	2431	10080603014	1
3	1	1	2432	10080603017	1
3	1	1	2432	10080603012	1
3	1	1	2432	10080603013	1
1	2	2	2481	10080603064	1
1	2	2	2481	10080603063	1
1	2	2	2481	10080603061	1
1	2	2	2482	10080603066	1
1	2	2	2483	10080603060	1
1	2	2	2483	10080603062	1
1	2	2	2483	10080603065	1
2	2	2	2481	10080603064	1
2	2	2	2481	10080603063	1
2	2	2	2481	10080603065	1
2	2	2	2482	10080603066	1
2	2	2	2483	10080603061	1
2	2	2	2483	10080603060	1
2	2	2	2483	10080603062	1
